mission_id,data,local,inicio,fim,timestamp,lat,lon,ph,oxigenio_dissolvido,temperatura,turbidez,salinidade,mono_p,multi_p,camera_r,camera_v
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:40:50,-22.931424,-43.114897,6.90,5.77,23.2,10.8,27.1,26,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:42:57,-22.931435,-43.115241,7.31,6.14,24.9,12.6,28.8,35,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:44:04,-22.931448,-43.115586,7.59,5.61,24.8,12.5,27.1,34,3.5,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:46:11,-22.931462,-43.115931,7.47,5.60,24.3,11.5,29.1,34,3.3,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:48:18,-22.931478,-43.116276,7.38,6.37,23.6,8.2,27.3,30,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:50:25,-22.931495,-43.116621,7.29,6.28,24.6,12.8,28.2,26,4.0,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:52:32,-22.931513,-43.116966,7.27,6.32,23.2,13.2,27.6,27,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:54:39,-22.931532,-43.117310,7.04,6.44,25.4,11.5,28.0,31,4.1,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:56:46,-22.931551,-43.117655,7.35,5.51,23.4,9.8,28.9,29,1.0,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:58:53,-22.931572,-43.118000,7.09,6.34,24.7,12.7,27.7,31,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:00:00,-22.933200,-43.118000,6.98,6.65,23.5,14.8,29.3,26,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:02:07,-22.933179,-43.117655,7.58,6.03,23.7,9.5,29.4,28,1.6,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:04:14,-22.933159,-43.117310,7.57,5.59,25.1,11.6,29.2,33,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:06:21,-22.933139,-43.116966,7.24,5.43,23.0,11.4,28.1,29,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:08:28,-22.933120,-43.116621,7.12,6.58,23.0,13.3,29.1,27,3.9,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:10:35,-22.933101,-43.116276,7.10,5.92,24.0,15.0,28.5,30,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:12:42,-22.933084,-43.115931,6.93,5.54,25.1,10.0,29.3,28,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:14:49,-22.933068,-43.115586,7.03,5.92,25.4,14.2,29.0,32,4.8,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:16:56,-22.933053,-43.115241,7.40,5.47,24.8,11.2,28.9,32,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:18:03,-22.933040,-43.114897,7.55,5.58,24.2,10.4,27.7,33,2.0,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:20:10,-22.933028,-43.114552,7.11,6.18,24.0,9.2,27.4,28,3.0,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:22:17,-22.933018,-43.114207,7.53,6.80,24.1,9.0,27.5,27,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:24:24,-22.933011,-43.113862,7.07,5.76,24.4,14.2,28.9,30,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:26:31,-22.933005,-43.113517,7.16,5.87,23.2,9.9,29.4,27,3.5,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 09:28:38,-22.933001,-43.113172,7.05,5.78,23.6,10.8,28.1,36,4.5,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:30:45,-22.933000,-43.112828,6.92,6.39,25.2,11.3,28.5,26,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:32:52,-22.933001,-43.112483,7.48,6.60,25.4,9.7,27.3,28,3.7,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:34:59,-22.933004,-43.112138,7.41,6.31,24.9,11.2,28.4,26,1.9,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:36:06,-22.933008,-43.111793,7.35,5.83,23.3,9.8,28.6,33,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:38:13,-22.933015,-43.111448,7.27,6.22,24.0,9.6,28.5,26,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:40:20,-22.933024,-43.111103,7.57,6.30,25.2,11.3,27.6,28,3.8,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:42:27,-22.933035,-43.110759,6.92,6.10,24.7,10.9,27.6,33,1.9,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:44:34,-22.933048,-43.110414,7.14,5.99,24.7,9.4,29.0,33,1.8,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:46:41,-22.933062,-43.110069,7.12,6.55,23.6,9.6,28.9,29,3.0,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:48:48,-22.933078,-43.109724,7.06,5.98,24.7,14.6,27.4,30,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:50:55,-22.933095,-43.109379,7.00,5.47,23.2,10.8,29.2,35,5.0,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:52:02,-22.933113,-43.109034,7.13,5.66,25.3,13.2,27.1,33,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:54:09,-22.933132,-43.108690,7.13,5.64,23.0,10.0,27.9,36,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:56:16,-22.933151,-43.108345,7.05,5.90,25.1,13.8,28.1,26,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:58:23,-22.933172,-43.108000,7.54,5.67,23.9,14.3,27.1,30,4.1,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:00:30,-22.934800,-43.108000,6.92,5.49,25.3,9.8,28.9,35,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:02:37,-22.934779,-43.108345,7.57,6.26,23.7,13.0,27.8,29,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:04:44,-22.934759,-43.108690,7.54,6.29,25.4,8.2,27.6,31,4.8,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:06:51,-22.934739,-43.109034,7.08,6.00,24.2,14.5,27.5,34,4.3,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:08:58,-22.934720,-43.109379,7.33,5.86,23.8,10.5,29.0,27,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:10:05,-22.934701,-43.109724,7.07,5.49,23.1,11.9,27.8,36,5.0,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:12:12,-22.934684,-43.110069,6.96,5.53,24.2,13.0,28.1,28,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:14:19,-22.934668,-43.110414,7.37,6.45,25.1,12.7,27.3,34,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:16:26,-22.934653,-43.110759,7.16,6.43,23.5,9.7,27.6,28,3.3,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 10:18:33,-22.934640,-43.111103,7.18,6.79,24.3,9.6,29.0,33,1.4,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:20:40,-22.934628,-43.111448,7.47,6.58,25.3,8.3,27.7,27,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:22:47,-22.934618,-43.111793,7.31,6.70,23.9,14.1,28.1,29,4.8,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:24:54,-22.934611,-43.112138,7.32,6.27,23.5,10.6,27.4,28,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:26:01,-22.934605,-43.112483,7.36,5.68,23.0,10.3,28.7,28,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:28:08,-22.934601,-43.112828,7.46,6.17,23.2,8.7,28.0,32,1.4,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:30:15,-22.934600,-43.113172,7.39,5.97,23.7,10.2,29.4,29,2.4,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:32:22,-22.934601,-43.113517,7.50,6.80,23.9,9.4,28.8,28,,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:34:29,-22.934604,-43.113862,7.20,6.55,24.0,14.2,28.2,28,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:36:36,-22.934608,-43.114207,7.35,6.67,23.2,12.4,27.9,31,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:38:43,-22.934615,-43.114552,7.26,6.70,23.3,11.4,29.0,36,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:40:50,-22.934624,-43.114897,7.56,6.77,24.2,8.4,29.3,30,3.5,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:42:57,-22.934635,-43.115241,7.01,6.50,23.6,10.8,29.1,34,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:44:04,-22.934648,-43.115586,7.18,6.13,24.0,8.9,27.6,33,1.2,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:46:11,-22.934662,-43.115931,7.43,5.45,25.1,8.8,28.5,32,2.2,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:48:18,-22.934678,-43.116276,7.31,6.00,24.6,11.1,28.1,26,3.0,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:50:25,-22.934695,-43.116621,7.43,6.49,24.1,9.3,28.2,27,,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:52:32,-22.934713,-43.116966,6.96,6.02,24.3,8.3,28.6,27,4.1,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:54:39,-22.934732,-43.117310,6.94,6.11,23.9,14.7,27.3,35,3.9,OK,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:56:46,-22.934751,-43.117655,7.04,6.77,24.2,14.7,29.3,28,4.7,,OK
OP-20260525,2026-05-25,"Praias Bahia da Guanabara, Niterói/RJ",7:00,12:00,2026-05-25 11:58:53,-22.934772,-43.118000,7.15,6.46,23.4,14.3,27.7,34,,,OK
